155 2017_06_07 15:12:30 487 402.8980.31.0100,0.01001001-6.56E-001769.0100.0480.8非数字1.000.000.00
156 2017_06_07 15:12:30 510 402.8980.21.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
157 2017_06_07 15:12:30 533 402.8990.31.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
158 2017_06_07 15:12:30 557 402.8930.31.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
159 2017_06_07 15:12:30 580 402.9000.31.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
160 2017_06_07 15:12:30 604 402.8950.31.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
161 2017_06_07 15:12:30 629 402.8980.31.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
162 2017_06_07 15:12:30 652 402.8930.21.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
163 2017_06_07 15:12:30 677 402.8930.31.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
164 2017_06_07 15:12:30 702 402.8940.31.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
165 2017_06_07 15:12:30 724 402.8930.31.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
166 2017_06_07 15:12:30 748 402.8980.31.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
167 2017_06_07 15:12:30 772 402.8960.21.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
168 2017_06_07 15:12:30 798 402.8940.21.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
169 2017_06_07 15:12:30 823 402.8940.31.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
170 2017_06_07 15:12:30 849 402.9000.31.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
171 2017_06_07 15:12:30 875 402.8970.21.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
172 2017_06_07 15:12:30 901 402.8970.31.0100,0.01001001-6.56E-001769.0100.0480.6非数字1.000.000.00
173 2017_06_07 15:12:30 926 402.8970.31.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
174 2017_06_07 15:12:30 951 402.8950.21.0100,0.01001001-6.56E-001769.0100.0480.6非数字1.000.000.00
175 2017_06_07 15:12:30 975 402.8890.31.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
176 2017_06_07 15:12:31 000 402.8900.31.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
177 2017_06_07 15:12:31 026 402.8910.31.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
178 2017_06_07 15:12:31 052 402.8940.21.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
179 2017_06_07 15:12:31 076 402.8940.31.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
180 2017_06_07 15:12:31 103 402.8970.31.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
181 2017_06_07 15:12:31 128 402.8940.31.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
182 2017_06_07 15:12:31 153 402.8990.21.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
183 2017_06_07 15:12:31 177 402.8990.31.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
184 2017_06_07 15:12:31 202 402.8930.31.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
185 2017_06_07 15:12:31 226 402.8970.31.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
186 2017_06_07 15:12:31 251 402.8930.21.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
187 2017_06_07 15:12:31 276 402.8930.21.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
188 2017_06_07 15:12:31 301 402.8950.31.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
189 2017_06_07 15:12:31 325 402.8910.31.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
190 2017_06_07 15:12:31 350 402.8930.21.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
191 2017_06_07 15:12:31 377 402.8950.21.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
192 2017_06_07 15:12:31 402 402.8950.31.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
193 2017_06_07 15:12:31 428 402.8930.31.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
194 2017_06_07 15:12:31 454 402.8920.21.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
195 2017_06_07 15:12:31 482 402.8960.31.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
196 2017_06_07 15:12:31 508 402.8890.31.0100,0.01001001-6.56E-001769.0100.0480.6非数字1.000.000.00
197 2017_06_07 15:12:31 534 402.8920.21.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
198 2017_06_07 15:12:31 560 402.8970.31.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
199 2017_06_07 15:12:31 587 402.8980.31.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
200 2017_06_07 15:12:31 612 402.9000.21.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
201 2017_06_07 15:12:31 639 402.8910.21.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
202 2017_06_07 15:12:31 666 402.8970.31.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
203 2017_06_07 15:12:31 692 402.8980.21.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
204 2017_06_07 15:12:31 718 402.8920.31.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
205 2017_06_07 15:12:31 743 402.8940.31.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
206 2017_06_07 15:12:31 766 402.8970.31.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
207 2017_06_07 15:12:31 790 402.8930.21.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
208 2017_06_07 15:12:31 813 402.8990.31.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
209 2017_06_07 15:12:31 837 402.9000.21.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
210 2017_06_07 15:12:31 860 402.8990.31.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
211 2017_06_07 15:12:31 884 402.8970.31.0100,0.01001001-6.56E-001769.0100.0480.6非数字1.000.000.00
212 2017_06_07 15:12:31 907 402.8940.31.0100,0.01001001-6.56E-001769.0100.0480.6非数字1.000.000.00
213 2017_06_07 15:12:31 931 402.8920.21.0100,0.01001001-6.56E-001769.0100.0480.6非数字1.000.000.00
214 2017_06_07 15:12:31 953 402.8930.21.0100,0.01001001-6.56E-001769.0100.0480.6非数字1.000.000.00
215 2017_06_07 15:12:31 980 402.9000.31.0100,0.01001001-6.56E-001769.0100.0480.6非数字1.000.000.00
216 2017_06_07 15:12:32 003 402.8950.31.0100,0.01001001-6.56E-001769.0100.0480.6非数字1.000.000.00
217 2017_06_07 15:12:32 027 402.8970.31.0100,0.01001001-6.56E-001769.0100.0480.6非数字1.000.000.00
218 2017_06_07 15:12:32 050 402.8970.21.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
219 2017_06_07 15:12:32 073 402.8940.21.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
220 2017_06_07 15:12:32 097 402.8970.21.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
221 2017_06_07 15:12:32 122 402.8950.31.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
222 2017_06_07 15:12:32 146 402.8930.31.0100,0.01001001-6.56E-001769.0100.0480.7非数字1.000.000.00
223 2017_06_07 15:12:32 170 402.8970.21.0100,0.01001001-6.56E-001769.0100.0495.6非数字1.000.000.00
224 2017_06_07 15:12:32 193 402.8950.21.0100,0.01001001-6.56E-001769.0100.0495.6非数字1.000.000.00
225 2017_06_07 15:12:32 217 402.8970.31.0100,0.01001001-6.56E-001769.0100.0495.6非数字1.000.000.00
226 2017_06_07 15:12:32 240 402.8920.31.0100,0.01001001-6.56E-001769.0100.0495.7非数字1.000.000.00
227 2017_06_07 15:12:32 263 402.8980.31.0100,0.01001001-6.56E-001769.0100.0495.7非数字1.000.000.00
228 2017_06_07 15:12:32 287 402.8930.31.0100,0.01001001-6.56E-001769.0100.0495.7非数字1.000.000.00
229 2017_06_07 15:12:32 311 402.9010.21.0100,0.01001001-6.56E-001769.0100.0495.7非数字1.000.000.00
230 2017_06_07 15:12:32 336 402.8930.21.0100,0.01001001-6.56E-001769.0100.0495.7非数字1.000.000.00
231 2017_06_07 15:12:32 361 402.9030.31.0100,0.01001001-6.56E-001769.0100.0495.7非数字1.000.000.00
