 记录条数:44 2017_06_05 11:48:22 030  bin号:5 晶号:0 电压(V):11.618 反向漏电流(uA):0.6色坐标(x,y)0.5745,0.4101相关色温(K)1656色差7.44E-004主波长(nm)593.9色纯度(%)89.5峰值波长(nm)747.0显色性指数93.7光通量(lm)9.50辐射通量(mW)0.10光效1.16
 记录条数:45 2017_06_05 11:48:22 054  bin号:5 晶号:0 电压(V):11.626 反向漏电流(uA):0.6色坐标(x,y)0.5745,0.4100相关色温(K)1656色差7.45E-004主波长(nm)593.9色纯度(%)89.5峰值波长(nm)747.0显色性指数93.8光通量(lm)9.50辐射通量(mW)0.10光效1.14
 记录条数:46 2017_06_05 11:48:22 077  bin号:5 晶号:0 电压(V):11.629 反向漏电流(uA):0.7色坐标(x,y)0.5744,0.4102相关色温(K)1657色差7.27E-004主波长(nm)593.9色纯度(%)89.5峰值波长(nm)747.0显色性指数93.7光通量(lm)9.48辐射通量(mW)0.10光效1.07
 记录条数:47 2017_06_05 11:48:22 101  bin号:5 晶号:0 电压(V):11.631 反向漏电流(uA):0.7色坐标(x,y)0.5743,0.4104相 记录条数:51 2017_06_05 11:48:22 191  bin号:5 晶号:0 电压(V):11.611 反向漏电流(uA):0.7色坐标(x,y)0.5743,0.4105相关色温(K)1660色差-6.53E-004主波长(nm)593.8色纯度(%)89.6峰值波长(nm)747.1显色性指数93.3光通量(lm)9.44辐射通量(mW)0.10光效1.07
 记录条数:52 2017_06_05 11:48:22 210  bin号:5 晶号:0 电压(V):11.612 反向漏电流(uA):0.7色坐标(x,y)0.5743,0.4105相关色温(K)1660色差-6.60E-004主波长(nm)593.8色纯度(%)89.6峰值波长(nm)747.1显色性指数93.4光通量(lm)9.43辐射通量(mW)0.10光效1.07
 记录条数:53 2017_06_05 11:48:22 228  bin号:5 晶号:0 电压(V):11.607 反向漏电流(uA):0.6色坐标(x,y)0.5744,0.4104相关色温(K)1659色差-6.72E-004主波长(nm)593.8色纯度(%)89.6峰值波长(nm)747.1显色性指数93.2光通量(lm)9.42辐射通量(mW)0.10光效1.15
 记录条数:54 2017_06_05 11:48:22 247  bin号:5 晶号:0 电压(V):11.634 反向漏电流(uA):0.6色坐标(x,y)0.5743,0.4105相关色温(K)1660色差-6.57E-004主波长(nm)593.8色纯度(%)89.6峰值波长(nm)747.1显色性指数93.2光通量(lm)9.41辐射通量(mW)0.10光效1.13
 记录条数:55 2017_06_05 11:48:22 266  bin号:5 晶号:0 电压(V):11.624 反向漏电流(uA):0.7色坐标(x,y)0.5743,0.4105相关色温(K)1660色差-6.56E-004主波长(nm)593.8色纯度(%)89.6峰值波长(nm)747.2显色性指数93.2光通量(lm)9.40辐射通量(mW)0.10光效1.03
 记录条数:56 2017_06_05 11:48:22 286  bin号:5 晶号:0 电压(V):11.639 反向漏电流(uA):0.6色坐标(x,y)0.5742,0.4106相关色温(K)1661色差-6.46E-004主波长(nm)593.8色纯度(%)89.6峰值波长(nm)747.1显色性指数93.1光通量(lm)9.39辐射通量(mW)0.10光效1.13
 记录条数:57 2017_06_05 11:48:22 304  bin号:5 晶号:0 电压(V):11.619 反向漏电流(uA):0.7色坐标(x,y)0.5741,0.4106相关色温(K)1661色差6.36E-004主波长(nm)593.8色纯度(%)89.6峰值波长(nm)747.1显色性指数93.1光通量(lm)9.38辐射通量(mW)0.09光效1.11
 记录条数:58 2017_06_05 11:48:22 322  bin号:5 晶号:0 电压(V):11.640 反向漏电流(uA):0.7色坐标(x,y)0.5741,0.4107相关色温(K)1662色差-6.30E-004主波长(nm)593.8色纯度(%)89.6峰值波长(nm)747.1显色性指数93.1光通量(lm)9.38辐射通量(mW)0.09光效1.11
 记录条数:59 2017_06_05 11:48:22 341  bin号:5 晶号:0 电压(V):11.627 反向漏电流(uA):0.7色坐标(x,y)0.5740,0.4108相关色温(K)1663色差6.09E-004主波长(nm)593.8色纯度(%)89.6峰值波长(nm)747.1显色性指数93.0光通量(lm)9.37辐射通量(mW)0.09光效1.11
 记录条数:60 2017_06_05 11:48:22 360  bin号:5 晶号:0 电压(V):11.603 反向漏电流(uA):0.6色坐标(x,y)0.5740,0.4108相关色温(K)1663色差-6.11E-004主波长(nm)593.8色纯度(%)89.6峰值波长(nm)747.0显色性指数92.9光通量(lm)9.37辐射通量(mW)0.09光效1.16
 记录条数:61 2017_06_05 11:48:22 378  bin号:5 晶号:0 电压(V):11.621 反向漏电流(uA):0.7色坐标(x,y)0.5739,0.4109相关色温(K)1664色差-5.95E-004主波长(nm)593.7色纯度(%)89.6峰值波长(nm)747.1显色性指数92.9光通量(lm)9.35辐射通量(mW)0.09光效1.06
 记录条数:62 2017_06_05 11:48:22 397  bin号:5 晶号:0 电压(V):11.621 反向漏电流(uA):0.7色坐标(x,y)0.5739,0.4109相关色温(K)1664色差-5.92E-004主波长(nm)593.7色纯度(%)89.6峰值波长(nm)747.0显色性指数92.9光通量(lm)9.34辐射通量(mW)0.09光效1.06
 记录条数:63 2017_06_05 11:48:22 415  bin号:5 晶号:0 电压(V):11.613 反向漏电流(uA):0.7色坐标(x,y)0.5739,0.4109相关色温(K)1665色差-5.82E-004主波长(nm)593.7色纯度(%)89.6峰值波长(nm)747.0显色性指数92.9光通量(lm)9.34辐射通量(mW)0.09光效1.09
 记录条数:64 2017_06_05 11:48:22 434  bin号:5 晶号:0 电压(V):11.635 反向漏电流(uA):0.7色坐标(x,y)0.5739,0.4109相关色温(K)1665色差-5.79E-004主波长(nm)593.7色纯度(%)89.6峰值波长(nm)747.1显色性指数92.9光通量(lm)9.34辐射通量(mW)0.09光效1.10
 记录条数:65 2017_06_05 11:48:22 454  bin号:5 晶号:0 电压(V):11.594 反向漏电流(uA):0.7色坐标(x,y)0.5739,0.4109相关色温(K)1664色差5.84E-004主波长(nm)593.7色纯度(%)89.6峰值波长(nm)754.1显色性指数92.9光通量(lm)9.35辐射通量(mW)0.09光效1.11
 记录条数:66 2017_06_05 11:48:22 472  bin号:5 晶号:0 电压(V):11.619 反向漏电流(uA):0.6色坐标(x,y)0.5739,0.4109相关色温(K)1664色差5.89E-004主波长(nm)593.7色纯度(%)89.6峰值波长(nm)754.1显色性指数92.9光通量(lm)9.35辐射通量(mW)0.09光效1.14
 记录条数:67 2017_06_05 11:48:22 492  bin号:5 晶号:0 电压(V):11.615 反向漏电流(uA):0.7色坐标(x,y)0.5739,0.4109相关色温(K)1665色差-5.85E-004主波长(nm)593.7色纯度(%)89.6峰值波长(nm)747.0显色性指数92.9光通量(lm)9.33辐射通量(mW)0.09光效1.07
 记录条数:68 2017_06_05 11:48:22 510  bin号:5 晶号:0 电压(V):11.616 反向漏电流(uA):0.7色坐标(x,y)0.5740,0.4109相关色温(K)1664色差-5.89E-004主波长(nm)593.7色纯度(%)89.6峰值波长(nm)747.0显色性指数92.9光通量(lm)9.34辐射通量(mW)0.09光效1.05
 记录条数:69 2017_06_05 11:48:22 529  bin号:5 晶号:0 电压(V):11.625 反向漏电流(uA):0.7色坐标(x,y)0.5740,0.4109相关色温(K)1664色差-5.75E-004主波长(nm)593.7色纯度(%)89.6峰值波长(nm)747.1显色性指数92.8光通量(lm)9.33辐射通量(mW)0.09光效1.08
 记录条数:70 2017_06_05 11:48:22 547  bin号:5 晶号:0 电压(V):11.589 反向漏电流(uA):0.6色坐标(x,y)0.5739,0.4109相关色温(K)1664色差5.72E-004主波长(nm)593.7色纯度(%)89.6峰值波长(nm)747.1显色性指数92.8光通量(lm)9.33辐射通量(mW)0.09光效1.12
 记录条数:71 2017_06_05 11:48:22 571  bin号:5 晶号:0 电压(V):11.623 反向漏电流(uA):0.7色坐标(x,y)0.5740,0.4109相关色温(K)1663色差5.77E-004主波长(nm)593.7色纯度(%)89.6峰值波长(nm)747.1显色性指数92.8光通量(lm)9.34辐射通量(mW)0.09光效1.07
 记录条数:72 2017_06_05 11:48:22 590  bin号:5 晶号:0 电压(V):11.618 反向漏电流(uA):0.7色坐标(x,y)0.5740,0.41 记录条数:77 2017_06_05 11:48:22 685  bin号:5 晶号:0 电压(V):11.632 反向漏电流(uA):0.7色坐标(x,y)0.5741,0.4106相关色温(K)1662色差-6.33E-004主波长(nm)593.8色纯度(%)89.6峰值波长(nm)747.2显色性指数94.0光通量(lm)9.24辐射通量(mW)0.09光效1.09
 记录条数:78 2017_06_05 11:48:22 705  bin号:5 晶号:0 电压(V):11.617 反向漏电流(uA):0.6色坐标(x,y)0.5740,0.4110相关色温(K)1665色差-5.61E-004主波长(nm)593.7色纯度(%)89.6峰值波长(nm)747.3显色性指数92.4光通量(lm)9.28辐射通量(mW)0.09光效1.11
 记录条数:79 2017_06_05 11:48:22 724  bin号:5 晶号:0 电压(V):11.627 反向漏电流(uA):0.7色坐标(x,y)0.5739,0.4110相关色温(K)1665色差5.57E-004主波长(nm)593.7色纯度(%)89.6峰值波长(nm)747.3显色性指数92.7光通量(lm)9.27辐射通量(mW)0.09光效1.09
 记录条数:80 2017_06_05 11:48:22 745  bin号:5 晶号:0 电压(V):11.631 反向漏电流(uA):0.7色坐标(x,y)0.5739,0.4110相关色温(K)1665色差5.58E-004主波长(nm)593.7色纯度(%)89.6峰值波长(nm)747.3显色性指数92.9光通量(lm)9.26辐射通量(mW)0.09光效1.09
 记录条数:81 2017_06_05 11:48:22 765  bin号:5 晶号:0 电压(V):11.622 反向漏电流(uA):0.7色坐标(x,y)0.5739,0.4110相关色温(K)1665色差5.53E-004主波长(nm)593.7色纯度(%)89.6峰值波长(nm)747.3显色性指数92.8光通量(lm)9.27辐射通量(mW)0.09光效1.08
 记录条数:82 2017_06_05 11:48:22 784  bin号:5 晶号:0 电压(V):11.635 反向漏电流(uA):0.6色坐标(x,y)0.5739,0.4111相关色温(K)1666色差-5.52E-004主波长(nm)593.7色纯度(%)89.6峰值波长(nm)747.3显色性指数92.9光通量(lm)9.27辐射通量(mW)0.09光效1.16
 记录条数:83 2017_06_05 11:48:22 805  bin号:5 晶号:0 电压(V):11.628 反向漏电流(uA):0.6色坐标(x,y)0.5738,0.4111相关色温(K)1666色差-5.56E-004主波长(nm)593.7色纯度(%)89.6峰值波长(nm)747.3显色性指数93.0光通量(lm)9.26辐射通量(mW)0.09光效1.14
 记录条数:84 2017_06_05 11:48:22 824  bin号:5 晶号:0 电压(V):11.594 反向漏电流(uA):0.7色坐标(x,y)0.5738,0.4111相关色温(K)1666色差-5.51E-004主波长(nm)593.7色纯度(%)89.6峰值波长(nm)747.3显色性指数93.0光通量(lm)9.27辐射通量(mW)0.09光效1.10
 记录条数:85 2017_06_05 11:48:22 844  bin号:5 晶号:0 电压(V):11.625 反向漏电流(uA):0.7色坐标(x,y)0.5738,0.4112相关色温(K)1667色差-5.37E-004主波长(nm)593.7色纯度(%)89.6峰值波长(nm)747.3显色性指数92.9光通量(lm)9.27辐射通量(mW)0.09光效1.05
 记录条数:86 2017_06_05 11:48:22 864  bin号:5 晶号:0 电压(V):11.597 反向漏电流(uA):0.7色坐标(x,y)0.5738,0.4111相关色温(K)1666色差-5.38E-004主波长(nm)593.7色纯度(%)89.7峰值波长(nm)747.3显色性指数92.7光通量(lm)9.28辐射通量(mW)0.09光效1.08
